time,train_id,前方信号机类型,前方信号机距离,当前机车公里标-变化趋势,当前机车公里标-符号位,当前机车公里标-里程数值,当前机车公里标-重复里程序号,当前机车公里标-长链标志,当前车速,当前限速,机车绝对位置坐标,机车起点绝对位置,状态标志-LKJ控车,label
2024-10-9 19:48,7007,5,105,0,0,582160,0,0,0,23,1670,0,1,1
2024-10-9 20:22,7007,2,490,0,0,561314,0,0,74,85,22583,18965,1,1
2024-10-9 20:26,7007,6,1468,1,0,20957,0,0,56,80,21651,17645,1,1
2024-10-9 20:28,7007,6,13,1,0,22412,0,0,50,80,23106,17645,1,1
2024-10-9 20:36,7007,6,239,1,0,25486,0,0,11,80,26180,22642,1,1
2024-10-9 21:23,7007,6,627,1,0,66846,0,0,42,80,67527,62676,1,1
2024-10-9 21:24,7007,6,1475,1,0,67778,0,0,51,80,68459,65179,1,0
2024-10-9 21:39,7007,3,536,1,0,82691,0,0,54,85,83372,80190,1,0
2024-10-9 21:50,7007,7,514,1,0,95223,0,0,70,85,95904,92703,1,0
2024-10-9 22:01,7007,5,413,1,0,108522,0,0,75,85,109233,105217,1,1
2024-10-9 22:05,7007,6,140,1,0,113210,0,0,73,85,113886,110220,1,1
2024-10-9 22:22,7007,7,1325,1,0,134016,0,0,75,85,134690,130238,1,1
2024-10-9 23:10,7007,5,800,0,0,405565,0,0,0,48,178692,0,1,0
2024-10-9 23:24,7007,6,86,1,0,194909,0,0,63,80,195575,190277,1,1
2024-10-9 23:48,7007,6,570,1,0,213175,0,0,59,80,213841,210294,1,1
2024-10-10 0:34,7007,6,823,1,0,263388,0,0,74,85,264035,260329,1,1
2024-10-10 0:45,7007,2,193,0,0,343980,0,0,73,85,240333,237001,1,1
2024-10-10 0:56,7007,6,167,0,0,331892,0,0,56,85,252396,247466,1,1
2024-10-10 1:05,7007,9,1710,1,0,302197,0,0,74,85,302809,297874,1,1
2024-10-10 1:14,7007,6,1895,1,0,312862,0,0,74,85,313451,310379,1,1
2024-10-10 1:15,7007,9,1637,1,0,314790,0,0,73,85,315379,310379,1,0
2024-10-10 1:28,7007,6,1189,1,0,330551,0,0,74,85,331112,327896,1,0
2024-10-10 1:44,7007,2,799,0,0,275618,0,0,74,85,308636,303397,1,0
2024-10-10 1:45,7007,6,1496,1,0,347926,0,0,18,85,348470,345398,1,1
2024-10-10 2:10,7007,6,1078,0,0,248890,0,0,52,85,335352,331948,1,1
2024-10-10 2:12,7007,2,1245,1,0,370445,0,0,75,85,370974,367447,1,1
2024-10-10 2:15,7007,6,332,1,0,374560,0,0,73,85,375080,369948,1,0
2024-10-10 2:21,7007,9,43,1,0,381210,0,0,67,85,381730,377454,1,0
2024-10-10 2:29,7007,6,1505,1,0,390266,0,0,50,85,390766,387459,1,1
2024-10-10 2:38,7007,6,1761,1,0,393796,0,0,21,85,394298,389958,1,1
2024-10-10 3:48,7007,3,0,0,0,0,0,0,0,50,0,0,1,0
2024-10-10 3:59,7007,3,0,0,0,0,0,0,0,50,0,0,1,0
2024-10-10 4:08,7007,6,984,0,0,126072,0,0,75,85,458166,454778,1,1
2024-10-10 4:30,7007,6,82,0,0,98417,0,0,75,85,485808,482401,1,1
2024-10-10 4:30,7007,6,370,1,0,433450,0,0,73,85,26458,22286,1,0
2024-10-10 4:36,7007,6,335,1,0,440280,0,0,74,85,33288,29796,1,0
2024-10-10 4:37,7007,6,953,0,0,89451,0,0,75,85,494774,489907,1,1
2024-10-10 4:44,7007,6,785,0,0,81482,0,0,69,80,502743,499203,1,0
2024-10-10 5:09,7007,6,1249,0,0,52714,0,0,70,80,531504,527169,1,1
2024-10-10 5:19,7007,5,138,0,0,41209,0,0,71,80,543009,539106,1,1
2024-10-10 7:09,7007,2,1192,1,0,578917,0,0,24,85,171970,167386,1,1
2024-10-10 14:11,7007,5,0,1,0,588285,0,0,0,40,181878,0,1,0
2024-10-10 14:13,7007,0,191,0,0,191,0,0,4,21,191,0,1,0
2024-10-10 14:13,7007,5,0,1,0,588285,0,0,0,40,181878,0,1,1
2024-10-10 14:13,7007,0,201,0,0,201,0,0,0,21,201,0,1,1
2024-10-10 19:20,7007,3,800,0,0,5980,0,0,0,50,5980,0,1,0
2024-10-10 19:24,7007,3,800,0,0,5980,0,0,0,50,5980,0,1,0
2024-10-10 21:07,7007,5,137,0,0,581984,0,0,0,40,11378,0,1,0
2024-10-10 21:08,7007,5,137,0,0,581984,0,0,0,40,11378,0,1,0
2024-10-10 21:12,7007,5,800,0,0,0,0,0,0,48,0,0,1,0
2024-10-10 21:13,7007,3,800,0,0,581984,0,0,0,48,11378,0,1,0
2024-10-10 21:18,7007,3,0,0,0,581984,0,0,0,40,11378,0,1,1
2024-10-10 21:18,7007,3,0,0,0,581984,0,0,0,40,11378,0,1,0
2024-10-10 21:18,7007,3,0,0,0,581984,0,0,0,40,11378,0,1,0
